event_id,primary_classification,primary_score
22483027,personal,0.590137
22484287,wedding_related,0.780157
22486938,personal,0.996098
22489905,organizations,0.953068
22492642,personal,0.65065
22493074,organizations,0.649235
22493237,wedding_related,0.893043
22499233,personal,0.617296
22501269,wedding_related,0.997701
22501593,organizations,0.350972
22509358,personal,0.589332
22511160,birthday_celebration,0.994134
22511916,birthday_celebration,0.889728
22513752,personal,0.772197
22515614,wedding_related,0.968946
22519613,birthday_celebration,0.464319
22520598,personal,0.875238
22522095,greetings,0.953237
22527967,personal,0.946546
22528439,birthday_celebration,0.810971
22528884,birthday_celebration,0.990032
22530614,other,0.423488
22533027,organizations,0.395002
22537855,greetings,0.989246
22538118,birthday_celebration,0.8959
22544468,wedding_related,0.536617
22546939,wedding_related,0.67255
22547980,wedding_related,0.825774
22548429,personal,0.641573
22548791,greetings,0.976768
22552933,birthday_celebration,0.976621
22553905,greetings,0.990897
22554104,birthday_celebration,0.998978
22556497,organizations,0.504623
22557169,birthday_celebration,0.873221
22557398,birthday_celebration,0.465913
22562415,wedding_related,0.970325
22563833,organizations,0.895432
22567675,personal,0.82909
22568012,wedding_related,0.478895
22568575,greetings,0.997699
22570989,greetings,0.921106
22571637,wedding_related,0.95296
22576749,birthday_celebration,0.992801
22578729,birthday_celebration,0.992801
22579773,birthday_celebration,0.992801
22582955,wedding_related,0.892943
22586307,greetings,0.969435
22591499,greetings,0.961955
22591679,wedding_related,0.988463
22594023,birthday_celebration,0.460531
22595305,personal,0.995045
22596696,personal,0.348918
22599734,personal,0.788757
22601338,wedding_related,0.876562
22601630,birthday_celebration,0.995374
22604093,personal,0.909823
22604489,personal,0.994653
22608811,personal,0.916449
22614010,greetings,0.836429
22614947,birthday_celebration,0.992643
22622067,greetings,0.834742
22622297,birthday_celebration,0.937842
22623160,personal,0.843748
22624840,organizations,0.664902
22626260,birthday_celebration,0.992342
22626645,birthday_celebration,0.994582
22627271,birthday_celebration,0.784066
22627726,personal,0.734734
22628802,birthday_celebration,0.917756
22629827,greetings,0.756983
22630043,birthday_celebration,0.776514
22634532,birthday_celebration,0.992643
22635482,birthday_celebration,0.992643
22636310,organizations,0.451524
22636886,birthday_celebration,0.992643
22639393,birthday_celebration,0.992643
22641729,birthday_celebration,0.992643
22644844,personal,0.578887
22647369,wedding_related,0.355839
22647441,personal,0.781605
22654848,birthday_celebration,0.992643
22655212,birthday_celebration,0.992643
22655225,birthday_celebration,0.977517
22655860,birthday_celebration,0.992643
22655927,birthday_celebration,0.992643
22660824,greetings,0.949321
22662030,organizations,0.873718
22668913,personal,0.780967
22669668,personal,0.598809
22672857,organizations,0.357556
22673547,other,0.818295
22675668,personal,0.86075
22679144,wedding_related,0.71159
22680622,greetings,0.912617
22680765,wedding_related,0.834423
22682043,personal,0.999366
22683015,personal,0.65633
22683128,personal,0.61638
22685001,personal,0.579316
22686616,birthday_celebration,0.992436
22689048,birthday_celebration,0.979305
22691955,greetings,0.996453
22693231,birthday_celebration,0.952016
22694476,greetings,0.950697
22694553,organizations,0.591561
22694873,birthday_celebration,0.989501
22694927,birthday_celebration,0.944576
22695507,wedding_related,0.896573
22696505,organizations,0.555782
22697879,birthday_celebration,0.948794
22698126,wedding_related,0.931904
22699138,personal,0.994035
22704766,birthday_celebration,0.992643
22705465,birthday_celebration,0.992643
22707030,birthday_celebration,0.992643
22707066,birthday_celebration,0.992643
22708723,birthday_celebration,0.992643
22714880,greetings,0.996381
22715853,birthday_celebration,0.995221
22719389,greetings,0.918682
22719913,greetings,0.98434
22720998,wedding_related,0.840884
22725145,greetings,0.946126
22727293,greetings,0.965459
22727761,personal,0.790538
22730602,personal,0.821509
22730926,personal,0.407357
22732907,birthday_celebration,0.992643
22734851,birthday_celebration,0.992643
22736670,birthday_celebration,0.992643
22738091,birthday_celebration,0.992643
22739104,birthday_celebration,0.964231
22741981,birthday_celebration,0.992643
22743205,birthday_celebration,0.967933
22748541,organizations,0.399429
22749544,greetings,0.99204
22751313,wedding_related,0.601751
22753272,personal,0.849593
22753476,personal,0.913825
22755091,wedding_related,0.556598
22755433,birthday_celebration,0.992643
22755703,birthday_celebration,0.99193
22755938,organizations,0.664902
22756532,greetings,0.981493
22758281,greetings,0.954414
22758484,greetings,0.858426
22763196,birthday_celebration,0.992643
22763503,birthday_celebration,0.992643
22764354,birthday_celebration,0.992643
22767846,birthday_celebration,0.992643
22773668,personal,0.862199
22774977,personal,0.418377
22776129,birthday_celebration,0.913608
22777337,personal,0.995961
22777913,birthday_celebration,0.873104
22778291,personal,0.334081
22779376,organizations,0.706952
22781970,other,0.460089
22783106,organizations,0.941574
22784260,birthday_celebration,0.990634
22784908,personal,0.988764
22785975,birthday_celebration,0.995971
22795029,birthday_celebration,0.992643
22795641,birthday_celebration,0.992643
22797873,birthday_celebration,0.992643
22799179,birthday_celebration,0.992643
22799690,birthday_celebration,0.992643
22799817,birthday_celebration,0.992643
22800806,birthday_celebration,0.992643
22802203,birthday_celebration,0.992643
22805578,birthday_celebration,0.992643
22810115,birthday_celebration,0.992643
22810674,birthday_celebration,0.992643
22811394,birthday_celebration,0.992643
22817819,organizations,0.451524
22821572,greetings,0.870169
22822401,organizations,0.845328
22822833,wedding_related,0.914598
22823531,greetings,0.603792
22823973,wedding_related,0.98954
22824215,wedding_related,0.973145
22824323,wedding_related,0.775473
22824741,personal,0.814639
22828219,greetings,0.93291
22831281,wedding_related,0.727223
22834887,organizations,0.601085
22843085,wedding_related,0.90075
22844688,wedding_related,0.910064
22847590,greetings,0.924418
22855406,birthday_celebration,0.953692
22075895,greetings,0.977079
22081196,greetings,0.977079
22086504,greetings,0.996632
22088822,organizations,0.498588
22101164,birthday_celebration,0.997
22107605,personal,0.66898
22117056,greetings,0.971173
22128339,personal,0.562143
22138615,wedding_related,0.970222
22138716,wedding_related,0.604445
22140843,greetings,0.908982
22146322,birthday_celebration,0.977933
22150104,greetings,0.518379
22153020,personal,0.511133
22156554,organizations,0.495055
22160753,wedding_related,0.976067
22162145,greetings,0.602365
22166937,organizations,0.731157
22167585,wedding_related,0.697633
22177742,personal,0.81821
22178521,wedding_related,0.485212
22186304,wedding_related,0.449839
22189437,birthday_celebration,0.996571
22189869,organizations,0.664902
22190027,greetings,0.977079
22191742,birthday_celebration,0.936179
22201790,birthday_celebration,0.991581
22208092,birthday_celebration,0.878206
22210469,birthday_celebration,0.996052
22212418,wedding_related,0.843365
22215870,wedding_related,0.96018
22220601,wedding_related,0.60854
22223231,wedding_related,0.948482
22234207,birthday_celebration,0.995161
22235181,birthday_celebration,0.994417
